constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year,round,circuitId,name
1,18,1,14.0,1,1,1,2008,1,1,Australian Grand Prix
2,18,2,8.0,3,3,0,2008,1,1,Australian Grand Prix
3,18,3,9.0,2,2,0,2008,1,1,Australian Grand Prix
4,18,4,5.0,4,4,0,2008,1,1,Australian Grand Prix
5,18,5,2.0,5,5,0,2008,1,1,Australian Grand Prix
6,18,6,1.0,6,6,0,2008,1,1,Australian Grand Prix
7,19,1,24.0,1,1,1,2008,2,2,Malaysian Grand Prix
8,19,2,19.0,2,2,0,2008,2,2,Malaysian Grand Prix
9,19,3,9.0,4,4,0,2008,2,2,Malaysian Grand Prix
10,19,4,6.0,5,5,0,2008,2,2,Malaysian Grand Prix
11,19,5,2.0,8,8,0,2008,2,2,Malaysian Grand Prix
12,19,6,11.0,3,3,1,2008,2,2,Malaysian Grand Prix
13,19,7,5.0,6,6,0,2008,2,2,Malaysian Grand Prix
14,19,9,2.0,7,7,0,2008,2,2,Malaysian Grand Prix
15,19,11,0.0,9,9,0,2008,2,2,Malaysian Grand Prix
16,19,10,0.0,10,10,0,2008,2,2,Malaysian Grand Prix
17,19,8,0.0,11,11,0,2008,2,2,Malaysian Grand Prix
18,20,1,28.0,3,3,1,2008,3,3,Bahrain Grand Prix
19,20,2,30.0,1,1,0,2008,3,3,Bahrain Grand Prix
20,20,3,10.0,4,4,0,2008,3,3,Bahrain Grand Prix
21,20,4,6.0,6,6,0,2008,3,3,Bahrain Grand Prix
22,20,5,2.0,8,8,0,2008,3,3,Bahrain Grand Prix
23,20,6,29.0,2,2,2,2008,3,3,Bahrain Grand Prix
24,20,7,8.0,5,5,0,2008,3,3,Bahrain Grand Prix
25,20,9,4.0,7,7,0,2008,3,3,Bahrain Grand Prix
26,20,11,0.0,9,9,0,2008,3,3,Bahrain Grand Prix
27,20,10,0.0,10,10,0,2008,3,3,Bahrain Grand Prix
28,20,8,0.0,11,11,0,2008,3,3,Bahrain Grand Prix
29,21,1,34.0,3,3,1,2008,4,4,Spanish Grand Prix
30,21,2,35.0,2,2,0,2008,4,4,Spanish Grand Prix
31,21,3,12.0,4,4,0,2008,4,4,Spanish Grand Prix
32,21,4,6.0,7,7,0,2008,4,4,Spanish Grand Prix
33,21,5,2.0,9,9,0,2008,4,4,Spanish Grand Prix
34,21,6,47.0,1,1,3,2008,4,4,Spanish Grand Prix
35,21,7,9.0,5,5,0,2008,4,4,Spanish Grand Prix
36,21,9,8.0,6,6,0,2008,4,4,Spanish Grand Prix
37,21,11,3.0,8,8,0,2008,4,4,Spanish Grand Prix
38,21,10,0.0,10,10,0,2008,4,4,Spanish Grand Prix
39,21,8,0.0,11,11,0,2008,4,4,Spanish Grand Prix
40,22,1,42.0,3,3,1,2008,5,5,Turkish Grand Prix
41,22,2,44.0,2,2,0,2008,5,5,Turkish Grand Prix
42,22,3,13.0,4,4,0,2008,5,5,Turkish Grand Prix
43,22,4,9.0,7,7,0,2008,5,5,Turkish Grand Prix
44,22,5,2.0,9,9,0,2008,5,5,Turkish Grand Prix
45,22,6,63.0,1,1,4,2008,5,5,Turkish Grand Prix
46,22,7,9.0,6,6,0,2008,5,5,Turkish Grand Prix
47,22,9,10.0,5,5,0,2008,5,5,Turkish Grand Prix
48,22,11,3.0,8,8,0,2008,5,5,Turkish Grand Prix
49,22,10,0.0,10,10,0,2008,5,5,Turkish Grand Prix
50,22,8,0.0,11,11,0,2008,5,5,Turkish Grand Prix
51,23,1,53.0,2,2,2,2008,6,6,Monaco Grand Prix
52,23,2,52.0,3,3,0,2008,6,6,Monaco Grand Prix
53,23,3,15.0,4,4,0,2008,6,6,Monaco Grand Prix
54,23,4,9.0,7,7,0,2008,6,6,Monaco Grand Prix
55,23,5,6.0,8,8,0,2008,6,6,Monaco Grand Prix
56,23,6,69.0,1,1,4,2008,6,6,Monaco Grand Prix
57,23,7,9.0,6,6,0,2008,6,6,Monaco Grand Prix
58,23,9,15.0,5,5,0,2008,6,6,Monaco Grand Prix
59,23,11,6.0,9,9,0,2008,6,6,Monaco Grand Prix
60,23,10,0.0,10,10,0,2008,6,6,Monaco Grand Prix
61,23,8,0.0,11,11,0,2008,6,6,Monaco Grand Prix
62,24,1,53.0,3,3,2,2008,7,7,Canadian Grand Prix
63,24,2,70.0,2,2,1,2008,7,7,Canadian Grand Prix
64,24,3,15.0,6,6,0,2008,7,7,Canadian Grand Prix
65,24,4,9.0,7,7,0,2008,7,7,Canadian Grand Prix
66,24,5,7.0,9,9,0,2008,7,7,Canadian Grand Prix
67,24,6,73.0,1,1,4,2008,7,7,Canadian Grand Prix
68,24,7,17.0,5,5,0,2008,7,7,Canadian Grand Prix
69,24,9,21.0,4,4,0,2008,7,7,Canadian Grand Prix
70,24,11,8.0,8,8,0,2008,7,7,Canadian Grand Prix
71,24,10,0.0,10,10,0,2008,7,7,Canadian Grand Prix
72,24,8,0.0,11,11,0,2008,7,7,Canadian Grand Prix
73,25,1,58.0,3,3,2,2008,8,8,French Grand Prix
74,25,2,74.0,2,2,1,2008,8,8,French Grand Prix
75,25,3,15.0,6,6,0,2008,8,8,French Grand Prix
76,25,4,12.0,7,7,0,2008,8,8,French Grand Prix
77,25,5,7.0,9,9,0,2008,8,8,French Grand Prix
78,25,6,91.0,1,1,5,2008,8,8,French Grand Prix
79,25,7,23.0,5,5,0,2008,8,8,French Grand Prix
80,25,9,24.0,4,4,0,2008,8,8,French Grand Prix
81,25,11,8.0,8,8,0,2008,8,8,French Grand Prix
82,25,10,0.0,10,10,0,2008,8,8,French Grand Prix
83,25,8,0.0,11,11,0,2008,8,8,French Grand Prix
