circuit,map,type,direction,location,country,last_length_used,turns,grands_prix,seasons,grands_prix_held
"{'text': 'Adelaide Street Circuit', 'url': 'https://en.wikipedia.org/wiki/Adelaide_Street_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Adelaide_(long_route).svg'}",Street circuit,Clockwise,"{'text': 'Adelaide', 'url': 'https://en.wikipedia.org/wiki/Adelaide'}",Australia,3.780 km (2.349 mi),16,"{'text': 'Australian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Australian_Grand_Prix'}",1985 – 1995,11
"{'text': 'Ain-Diab Circuit', 'url': 'https://en.wikipedia.org/wiki/Ain-Diab_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Ain-Diab.svg'}",Road circuit,Clockwise,"{'text': 'Casablanca', 'url': 'https://en.wikipedia.org/wiki/Casablanca'}",Morocco,7.618 km (4.734 mi),18,"{'text': 'Moroccan Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Moroccan_Grand_Prix'}","{'text': '1958', 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_season'}",1
"{'text': 'Aintree Motor Racing Circuit', 'url': 'https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Circuit_Aintree.svg'}",Road circuit,Clockwise,"{'text': 'Aintree', 'url': 'https://en.wikipedia.org/wiki/Aintree'}",United Kingdom,4.828 km (3.000 mi),12,"{'text': 'British Grand Prix', 'url': 'https://en.wikipedia.org/wiki/British_Grand_Prix'}","1955 , 1957 , 1959 , 1961 – 1962",5
"{'text': 'Albert Park Circuit *', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Albert_Park_Circuit_2021.svg'}",Street circuit,Clockwise,"{'text': 'Melbourne', 'url': 'https://en.wikipedia.org/wiki/Melbourne'}",Australia,5.278 km (3.280 mi),16,"{'text': 'Australian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Australian_Grand_Prix'}","1996 – 2019 , 2022 – 2025",28
"{'text': 'Algarve International Circuit', 'url': 'https://en.wikipedia.org/wiki/Algarve_International_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg'}",Race circuit,Clockwise,"{'text': 'Portimão', 'url': 'https://en.wikipedia.org/wiki/Portim%C3%A3o'}",Portugal,4.653 km (2.891 mi),15,"{'text': 'Portuguese Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Portuguese_Grand_Prix'}",2020 – 2021,2
"{'text': 'Autódromo do Estoril', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_de_Estoril_1994-1999.png'}",Race circuit,Clockwise,"{'text': 'Estoril', 'url': 'https://en.wikipedia.org/wiki/Estoril'}",Portugal,4.360 km (2.709 mi),13,"{'text': 'Portuguese Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Portuguese_Grand_Prix'}",1984 – 1996,13
"{'text': 'Autódromo Hermanos Rodríguez *', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg'}",Race circuit,Clockwise,"{'text': 'Mexico City', 'url': 'https://en.wikipedia.org/wiki/Mexico_City'}",Mexico,4.304 km (2.674 mi),17,"Mexican Grand Prix , Mexico City Grand Prix","1963 – 1970 , 1986 – 1992 , 2015 – 2019 , 2021 – 2025",25
"{'text': 'Autódromo Internacional do Rio de Janeiro', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Aut%C3%B3dromo_de_Jacarepagu%C3%A1_1978-1995.png'}",Race circuit,Anti-clockwise,"{'text': 'Rio de Janeiro', 'url': 'https://en.wikipedia.org/wiki/Rio_de_Janeiro'}",Brazil,5.031 km (3.126 mi),11,"{'text': 'Brazilian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Brazilian_Grand_Prix'}","1978 , 1981 – 1989",10
"{'text': 'Autodromo Internazionale del Mugello', 'url': 'https://en.wikipedia.org/wiki/Autodromo_Internazionale_del_Mugello'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Mugello_Racing_Circuit_track_map_15_turns.svg'}",Race circuit,Clockwise,"{'text': 'Scarperia e San Piero', 'url': 'https://en.wikipedia.org/wiki/Scarperia_e_San_Piero'}",Italy,5.245 km (3.259 mi),15,"{'text': 'Tuscan Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Tuscan_Grand_Prix'}","{'text': '2020', 'url': 'https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship'}",1
"{'text': 'Autodromo Internazionale Enzo e Dino Ferrari *', 'url': 'https://en.wikipedia.org/wiki/Imola_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Imola_2009.svg'}",Race circuit,Anti-clockwise,"{'text': 'Imola', 'url': 'https://en.wikipedia.org/wiki/Imola'}",Italy,4.909 km (3.050 mi),19,"Italian Grand Prix , San Marino Grand Prix , Emilia Romagna Grand Prix","1980 – 2006 , 2020 – 2022 , 2024 – 2025",32
