team,team_url,seasons
AE Moss,https://en.wikipedia.org/wiki/Alfred_Moss,"[{'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}]"
Bernard White Racing,https://en.wikipedia.org/wiki/Bernard_White_Racing,"[{'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}]"
BMS Scuderia Italia,https://en.wikipedia.org/wiki/BMS_Scuderia_Italia,"[{'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}, {'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}, {'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}, {'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}, {'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}, {'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}]"
British Formula One Racing Team,https://en.wikipedia.org/wiki/British_Formula_One_Racing_Team,"[{'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}]"
BS Fabrications,https://en.wikipedia.org/wiki/BS_Fabrications,"[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}, {'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]"
Camoradi International,https://en.wikipedia.org/wiki/Camoradi_International,"[{'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}, {'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}]"
DW Racing Enterprises,https://en.wikipedia.org/wiki/DW_Racing_Enterprises,"[{'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}, {'year': 1964, 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_World_Championship'}, {'year': 1965, 'url': 'https://en.wikipedia.org/wiki/1965_Formula_One_World_Championship'}, {'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}]"
Ecurie Belge,https://en.wikipedia.org/wiki/Ecurie_Belge,"[{'year': 1950, 'url': 'https://en.wikipedia.org/wiki/1950_Formula_One_World_Championship'}, {'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}, {'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}]"
Ecurie Bleue,https://en.wikipedia.org/w/index.php?title=Ecurie_Bleue&action=edit&redlink=1,"[{'year': 1950, 'url': 'https://en.wikipedia.org/wiki/1950_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}]"
Ecurie Bonnier,https://en.wikipedia.org/wiki/Ecurie_Bonnier,"[{'year': 1957, 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_World_Championship'}, {'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}, {'year': 1970, 'url': 'https://en.wikipedia.org/wiki/1970_Formula_One_World_Championship'}, {'year': 1971, 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_World_Championship'}]"
