Manufacturer,Manufacturer URL
Cadillac,https://en.wikipedia.org/wiki/Cadillac
Chevrolet,https://en.wikipedia.org/wiki/Chevrolet
Chrysler,https://en.wikipedia.org/wiki/Chrysler
Cummins,https://en.wikipedia.org/wiki/Cummins
DeSoto,https://en.wikipedia.org/wiki/DeSoto_(automobile)
Dodge,https://en.wikipedia.org/wiki/Dodge
Duray,
Mercury,https://en.wikipedia.org/wiki/Mercury_(automobile)
Miller,https://en.wikipedia.org/wiki/Harry_Miller_(auto_racing)
Novi,https://en.wikipedia.org/wiki/Novi_engine
Offenhauser [ x ],https://en.wikipedia.org/wiki/Offenhauser
R Miller,
Sparks,
Studebaker,https://en.wikipedia.org/wiki/Studebaker
Voelker,
Wayne,
