Race title,Race title URL,Country,Country URL,Years held,Circuits,Total
70th Anniversary Grand Prix,https://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,2020,1,1
Abu Dhabi Grand Prix *,https://en.wikipedia.org/wiki/Abu_Dhabi_Grand_Prix,United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates,2009 – 2024,1,16
Argentine Grand Prix,https://en.wikipedia.org/wiki/Argentine_Grand_Prix,Argentina,https://en.wikipedia.org/wiki/Argentina,"1953 – 1958 , 1960 , 1972 – 1975 , 1977 – 1981 , 1995 – 1998",1,20
Australian Grand Prix *,https://en.wikipedia.org/wiki/Australian_Grand_Prix,Australia,https://en.wikipedia.org/wiki/Australia,"1985 – 2019 , 2022 – 2025",2,39
Austrian Grand Prix *,https://en.wikipedia.org/wiki/Austrian_Grand_Prix,Austria,https://en.wikipedia.org/wiki/Austria,"1964 , 1970 – 1987 , 1997 – 2003 , 2014 – 2025",2,38
Azerbaijan Grand Prix *,https://en.wikipedia.org/wiki/Azerbaijan_Grand_Prix,Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,"2017 – 2019 , 2021 – 2025",1,8
Bahrain Grand Prix *,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix,Bahrain,https://en.wikipedia.org/wiki/Bahrain,"2004 – 2010 , 2012 – 2025",1,21
Belgian Grand Prix *,https://en.wikipedia.org/wiki/Belgian_Grand_Prix,Belgium,https://en.wikipedia.org/wiki/Belgium,"1950 – 1956 , 1958 , 1960 – 1968 , 1970 , 1972 – 2002 , 2004 – 2005 , 2007 – 2025",3,70
Brazilian Grand Prix,https://en.wikipedia.org/wiki/Brazilian_Grand_Prix,Brazil,https://en.wikipedia.org/wiki/Brazil,1973 – 2019,2,47
British Grand Prix *,https://en.wikipedia.org/wiki/British_Grand_Prix,United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,1950 – 2025,3,76
Caesars Palace Grand Prix,https://en.wikipedia.org/wiki/Caesars_Palace_Grand_Prix,United States,https://en.wikipedia.org/wiki/United_States,1981 – 1982,1,2
