season,races,countries,first,last,drivers_champion_team,constructors_champion,winners
"{'text': '1950', 'url': 'https://en.wikipedia.org/wiki/1950_Formula_One_season'}",7,7,"{'text': 'British', 'url': 'https://en.wikipedia.org/wiki/1950_British_Grand_Prix'}","{'text': 'Italian', 'url': 'https://en.wikipedia.org/wiki/1950_Italian_Grand_Prix'}","[{'text': 'Giuseppe Farina', 'url': 'https://en.wikipedia.org/wiki/Giuseppe_Farina'}, {'text': 'Alfa Romeo', 'url': 'https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One'}]",[],3
"{'text': '1951', 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_season'}",8,8,"{'text': 'Swiss', 'url': 'https://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix'}","{'text': 'Spanish', 'url': 'https://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix'}","[{'text': 'Juan Manuel Fangio', 'url': 'https://en.wikipedia.org/wiki/Juan_Manuel_Fangio'}, {'text': 'Alfa Romeo', 'url': 'https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One'}]",[],
"{'text': '1952', 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_season'}",8,8,"{'text': 'Swiss', 'url': 'https://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix'}","{'text': 'Italian', 'url': 'https://en.wikipedia.org/wiki/1952_Italian_Grand_Prix'}","[{'text': 'Alberto Ascari', 'url': 'https://en.wikipedia.org/wiki/Alberto_Ascari'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",[],
"{'text': '1953', 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_season'}",9,9,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix'}","{'text': 'Italian', 'url': 'https://en.wikipedia.org/wiki/1953_Italian_Grand_Prix'}","[{'text': 'Alberto Ascari', 'url': 'https://en.wikipedia.org/wiki/Alberto_Ascari'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",[],
"{'text': '1954', 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_season'}",9,9,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix'}","{'text': 'Spanish', 'url': 'https://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix'}","[{'text': 'Juan Manuel Fangio', 'url': 'https://en.wikipedia.org/wiki/Juan_Manuel_Fangio'}, {'text': 'Maserati', 'url': 'https://en.wikipedia.org/wiki/Maserati_in_motorsport'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",[],
"{'text': '1955', 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_season'}",7,7,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix'}","{'text': 'Italian', 'url': 'https://en.wikipedia.org/wiki/1955_Italian_Grand_Prix'}","[{'text': 'Juan Manuel Fangio', 'url': 'https://en.wikipedia.org/wiki/Juan_Manuel_Fangio'}, {'text': 'Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One'}]",[],
"{'text': '1956', 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_season'}",8,8,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix'}","{'text': 'Italian', 'url': 'https://en.wikipedia.org/wiki/1956_Italian_Grand_Prix'}","[{'text': 'Juan Manuel Fangio', 'url': 'https://en.wikipedia.org/wiki/Juan_Manuel_Fangio'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",[],
"{'text': '1957', 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_season'}",8,7,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix'}","{'text': 'Italian', 'url': 'https://en.wikipedia.org/wiki/1957_Italian_Grand_Prix'}","[{'text': 'Juan Manuel Fangio', 'url': 'https://en.wikipedia.org/wiki/Juan_Manuel_Fangio'}, {'text': 'Maserati', 'url': 'https://en.wikipedia.org/wiki/Maserati_in_motorsport'}]",[],
"{'text': '1958', 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_season'}",11,11,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix'}","{'text': 'Moroccan', 'url': 'https://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix'}","[{'text': 'Mike Hawthorn', 'url': 'https://en.wikipedia.org/wiki/Mike_Hawthorn'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Vanwall', 'url': 'https://en.wikipedia.org/wiki/Vanwall'}]",6
"{'text': '1959', 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_season'}",9,8,"{'text': 'Monaco', 'url': 'https://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1959_United_States_Grand_Prix'}","[{'text': 'Jack Brabham', 'url': 'https://en.wikipedia.org/wiki/Jack_Brabham'}, {'text': 'Cooper', 'url': 'https://en.wikipedia.org/wiki/Cooper_Car_Company'}]","[{'text': 'Cooper', 'url': 'https://en.wikipedia.org/wiki/Cooper_Car_Company'}, {'text': 'Climax', 'url': 'https://en.wikipedia.org/wiki/Coventry_Climax'}]",6
"{'text': '1960', 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_season'}",10,9,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1960_United_States_Grand_Prix'}","[{'text': 'Jack Brabham', 'url': 'https://en.wikipedia.org/wiki/Jack_Brabham'}, {'text': 'Cooper', 'url': 'https://en.wikipedia.org/wiki/Cooper_Car_Company'}]","[{'text': 'Cooper', 'url': 'https://en.wikipedia.org/wiki/Cooper_Car_Company'}, {'text': 'Climax', 'url': 'https://en.wikipedia.org/wiki/Coventry_Climax'}]",5
"{'text': '1961', 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_season'}",8,8,"{'text': 'Monaco', 'url': 'https://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1961_United_States_Grand_Prix'}","[{'text': 'Phil Hill', 'url': 'https://en.wikipedia.org/wiki/Phil_Hill'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",5
