season,main_colours,additional_colours,main_sponsors,additional_major_sponsors,notes,team,non-tobacco_liveries,special_liveries,livery_sponsors,non-tobacco_alcohol_livery_changes,drivers,other_informations_including_non-tobacco_alcohol_race_changes,other_information,non_tobacco_alcohol_changess,additional_major_sponsors___notes,livery_principal_sponsors,non-tobacco_alcohol_livery_changes_location-specific_livery_changes_2011-present,non-tobacco_alcohol_livery_changess,non-tobacco_alcohol_and_other_livery_changes,other_changes
"[{'year': 1986, 'url': 'https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship'}]",['White'],[],['None'],"['Jolly Club', 'El Charro']",,AGS,,,,,,,,,,,,,,
"[{'year': 1987, 'url': 'https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship'}]","['Red', 'White']",[],['El Charro'],['Acto'],,AGS,,,,,,,,,,,,,,
"[{'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}]",['Black'],['Orange'],['Tennen'],"['Elf', 'Bouygues', 'Facom', 'Tennen', 'F.A.T. International']",,AGS,,,,,,,,,,,,,,
"[{'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}]",['Black'],['White'],['Faure'],"['Camel', 'Goodyear', 'LM']",,AGS,,,,,,,,,,,,,,
"[{'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}]",['Black'],['White'],['Ted Lapidus'],['Goodyear'],,AGS,,,,,,,,,,,,,,
"[{'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}]","['White', 'Blue']","['Red', 'Yellow']",['Paolo Fiore'],"['Filling', 'mmta', 'Goodyear', 'Bburago']",,AGS,,,,,,,,,,,,,,
"[{'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}]",['Rosso corsa'],['White'],[],"['Agip', 'Magneti Marelli']",,Alfa Romeo,,,,,,,,,,,,,,
"[{'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}, {'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}, {'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}, {'year': 1983, 'url': 'https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship'}]","['Red', 'White', 'Black']",[],['Marlboro'],"['Champion', 'Facom', 'Michelin', 'Nordica', 'Agip', 'Koni', 'Magneti Marelli']",,Alfa Romeo,"Marlboro logo replaced with a barcode at certain races, due to tobacco or alcohol sponsorship bans.",,,,,,,,,,,,,
"[{'year': 1984, 'url': 'https://en.wikipedia.org/wiki/1984_Formula_One_World_Championship'}, {'year': 1985, 'url': 'https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship'}]","['Green', 'Red']",[],['Benetton Group'],"['Champion', 'OZ Wheels', 'Ferodo', 'Agip', 'Goodyear', 'Brembo', 'Koni', 'Speedline', 'Magneti Marelli']",,Alfa Romeo,,,,,,,,,,,,,,
"[{'year': 2019, 'url': 'https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship'}]",['White'],"['Red', 'Blue']",['Alfa Romeo'],"['Shell', 'Singha', 'Axitea', 'Carrera', 'Iveco', 'Richard Mille', 'Magneti Marelli', 'Pirelli', 'Claro', 'Adler-Pelzer', 'Hewlett Packard Enterprise', 'Betsafe', 'Little Mole', 'Singapore Airlines', 'Sparco', 'and Huski Chocolate']",,Alfa Romeo,"At the Chinese Grand Prix, an image of the 158 that Giuseppe Farina won the first world championship race was placed on the sidepods",,,,,,,,,,,,,
"[{'year': 2020, 'url': 'https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship'}]","['White', 'Red']",[],"['Alfa Romeo', 'PKN Orlen']","['Singha', 'Axitea', 'Carrera', 'Richard Mille', 'Magneti Marelli', 'Pirelli', 'Additive Industries', 'Huski Chocolate', 'Sauber Engineering', 'Sparco', 'Hewlett Packard Enterprise', 'Adler Pelzer Group', 'Globe Air', 'Ivy Oxford', 'AB Dynamics']",,Alfa Romeo,,,,,,,,,,,,,,
