Wins,Points,Engine URL,Licensed in,Based in,WCC,Constructor,Engine,Races Started,Total Entries,Based in URL,Antecedent teams URL,Drivers,WDC,Licensed in URL,FL,Poles,Seasons URL,Seasons,Races Entered,Constructor URL,Antecedent teams,Podiums
1,535,https://en.wikipedia.org/wiki/Renault_in_Formula_One,France,United Kingdom,0,Alpine,Renault,112,226,https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,5,0,https://en.wikipedia.org/wiki/France,1,0,https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship,2021 –present,113,https://en.wikipedia.org/wiki/Alpine_F1_Team,"Toleman (1981–1985), / Benetton (1986–2001), / Renault (2002–2011, 2016–2020), Lotus (2012–2015)",6
0,580,https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains,United Kingdom,United Kingdom,0,Aston Martin,Mercedes,117,237,https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/Republic_of_Ireland,7,0,https://en.wikipedia.org/wiki/United_Kingdom,3,0,https://en.wikipedia.org/wiki/1959_Formula_One_season,"1959 – 1960 , 2021 –present",119,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,"Jordan (1991–2005), Midland (2006), Spyker (2007) , Force India (2008–2018) , Force India (2018) , Racing Point (2019–2020)",9
248,10702,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Italy,Italy,16,Ferrari,Ferrari,1120,2372,https://en.wikipedia.org/wiki/Italy,,83,15,https://en.wikipedia.org/wiki/Italy,264,254,https://en.wikipedia.org/wiki/1950_Formula_One_season,1950 –present,1123,https://en.wikipedia.org/wiki/Scuderia_Ferrari,—,836
0,380,https://en.wikipedia.org/wiki/Scuderia_Ferrari,United States,United States United Kingdom Italy,0,Haas,Ferrari,212,426,https://en.wikipedia.org/wiki/United_States,,9,0,https://en.wikipedia.org/wiki/United_States,3,1,https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship,2016 –present,213,https://en.wikipedia.org/wiki/Haas_F1_Team,—,0
203,7727.5,https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains,United Kingdom,United Kingdom,10,McLaren,Mercedes,992,2063,https://en.wikipedia.org/wiki/United_Kingdom,,52,12,https://en.wikipedia.org/wiki/United_Kingdom,182,177,https://en.wikipedia.org/wiki/1966_Formula_One_season,1966 –present,997,https://en.wikipedia.org/wiki/McLaren,—,555
131,8131.5,https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains,Germany,United Kingdom,8,Mercedes,Mercedes,339,692,https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,13,9,https://en.wikipedia.org/wiki/Germany,115,143,https://en.wikipedia.org/wiki/1954_Formula_One_season,"1954 – 1955 , 2010 –present",340,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,"Tyrrell (1970–1998), BAR (1999–2005), Honda (2006–2008), Brawn (2009)",310
0,136,https://en.wikipedia.org/wiki/Honda_in_Formula_One,Italy,Italy United Kingdom,0,Racing Bulls,Honda RBPT,46,94,https://en.wikipedia.org/wiki/Italy,https://en.wikipedia.org/wiki/Italy,4,0,https://en.wikipedia.org/wiki/Italy,1,0,https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship,2024 –present,47,https://en.wikipedia.org/wiki/Racing_Bulls,"Minardi (1985–2005) , Toro Rosso (2006–2019) AlphaTauri (2020–2023)",1
128,8237,https://en.wikipedia.org/wiki/Honda_in_Formula_One,Austria,United Kingdom,6,Red Bull Racing,Honda RBPT,415,834,https://en.wikipedia.org/wiki/United_Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,13,8,https://en.wikipedia.org/wiki/Austria,102,110,https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship,2005 –present,417,https://en.wikipedia.org/wiki/Red_Bull_Racing,"Stewart (1997–1999), Jaguar (2000–2004)",295
1,937,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Switzerland,Switzerland United Kingdom,0,Sauber / BMW Sauber / Kick Sauber,Ferrari,508,996,https://en.wikipedia.org/wiki/Switzerland,https://en.wikipedia.org/wiki/Switzerland,34,0,https://en.wikipedia.org/wiki/Switzerland,5,1,https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship,"1993 – 2018 , 2024 –present",512,https://en.wikipedia.org/wiki/Sauber,Alfa Romeo (2019–2023),27
114,3759,https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains,United Kingdom,United Kingdom,9,Williams,Mercedes,848,1617,https://en.wikipedia.org/wiki/United_Kingdom,,49,7,https://en.wikipedia.org/wiki/United_Kingdom,134,128,https://en.wikipedia.org/wiki/1978_Formula_One_season,1978 –present,850,https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,—,314
