Licensed in,FL,Seasons,Seasons URL,Wins,WCC,WDC,Races Entered,Licensed in URL,Drivers URL,Constructor,Points,Podiums,Total Entries,Constructor URL,Races Started,Drivers,Poles
Germany,0,1952 – 1953,https://en.wikipedia.org/wiki/1952_Formula_One_season,0,n/a,0,4,https://en.wikipedia.org/wiki/Germany,,Alex von Falkenhausen Motorenbau,n/a,0,7,https://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,4,5,0
France,0,1986 – 1991,https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship,0,0,0,80,https://en.wikipedia.org/wiki/France,,Automobiles Gonfaronnaises Sportives (AGS),2,0,124,https://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,32,10,0
"Italy , Switzerland",16,"1950 – 1951 , 1979 – 1985 , 2019 – 2023",https://en.wikipedia.org/wiki/1950_Formula_One_season,10,0,2,214,https://en.wikipedia.org/wiki/Italy,,Alfa Romeo,199,26,443,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,214,23,12
South Africa,0,"1963 , 1965",https://en.wikipedia.org/wiki/1963_Formula_One_season,0,0,0,2,https://en.wikipedia.org/wiki/South_Africa,,Alfa Special,0,0,2,https://en.wikipedia.org/wiki/Alfa_Special,2,1,0
Italy,2,2020 – 2023,https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship,1,0,0,83,https://en.wikipedia.org/wiki/Italy,,AlphaTauri,309,2,166,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,83,6,0
United Kingdom,0,1950 – 1952,https://en.wikipedia.org/wiki/1950_Formula_One_season,0,n/a,0,5,https://en.wikipedia.org/wiki/United_Kingdom,,Alta,n/a,0,6,https://en.wikipedia.org/wiki/Alta_Car_and_Engineering_Company,5,4,0
New Zealand,0,1974,https://en.wikipedia.org/wiki/1974_Formula_One_season,0,0,0,4,https://en.wikipedia.org/wiki/New_Zealand,,Amon,0,0,4,https://en.wikipedia.org/wiki/Amon_(Formula_One_team),1,2,0
Italy,0,1992,https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship,0,0,0,12,https://en.wikipedia.org/wiki/Italy,,Andrea Moda,0,0,15,https://en.wikipedia.org/wiki/Andrea_Moda_Formula,1,4,0
Switzerland,0,1977,https://en.wikipedia.org/wiki/1977_Formula_One_season,0,0,0,5,https://en.wikipedia.org/wiki/Switzerland,,Apollon,0,0,1,https://en.wikipedia.org/wiki/Apollon_(Formula_One),1,1,0
United Kingdom,0,1978 – 2002,https://en.wikipedia.org/wiki/1978_Formula_One_season,0,0,0,394,https://en.wikipedia.org/wiki/United_Kingdom,,Arrows,167,8,783,https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,383,36,1
Italy,0,1955,https://en.wikipedia.org/wiki/1955_Formula_One_season,0,n/a,0,1,https://en.wikipedia.org/wiki/Italy,,Arzani-Volpini,n/a,0,1,https://en.wikipedia.org/wiki/Arzani-Volpini,0,1,0
United Kingdom,0,1952,https://en.wikipedia.org/wiki/1952_Formula_One_season,0,n/a,0,4,https://en.wikipedia.org/wiki/United_Kingdom,,Aston Butterworth,n/a,0,4,https://en.wikipedia.org/wiki/Aston_Butterworth,1,2,0
Italy,0,1963,https://en.wikipedia.org/wiki/1963_Formula_One_season,0,0,0,6,https://en.wikipedia.org/wiki/Italy,,Automobili Turismo e Sport,0,0,11,https://en.wikipedia.org/wiki/Automobili_Turismo_e_Sport,6,3,0
Germany,0,1977 – 1984,https://en.wikipedia.org/wiki/1977_Formula_One_season,0,0,0,107,https://en.wikipedia.org/wiki/Germany,,Auto Technisches Spezialzubehör (ATS),7,0,146,https://en.wikipedia.org/wiki/ATS_(wheels),89,15,0
United Kingdom,0,1999 – 2005,https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship,0,0,0,118,https://en.wikipedia.org/wiki/United_Kingdom,,British American Racing,227,15,236,https://en.wikipedia.org/wiki/British_American_Racing,116,7,2
Germany,0,1959 – 1960,https://en.wikipedia.org/wiki/1959_Formula_One_season,0,0,0,4,https://en.wikipedia.org/wiki/Germany,,Behra-Porsche,0,0,4,https://en.wikipedia.org/wiki/Behra-Porsche,2,4,0
Switzerland,0,1970 – 1971,https://en.wikipedia.org/wiki/1970_Formula_One_season,0,0,0,6,https://en.wikipedia.org/wiki/Switzerland,,Bellasi,0,0,6,https://en.wikipedia.org/wiki/Bellasi,2,1,0
"United Kingdom , Italy",36,1986 – 2001,https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship,27,1,2,260,https://en.wikipedia.org/wiki/United_Kingdom,,Benetton,851.5,102,520,https://en.wikipedia.org/wiki/Benetton_Formula,260,17,15
Netherlands,0,1976 – 1977,https://en.wikipedia.org/wiki/1976_Formula_One_season,0,0,0,8,https://en.wikipedia.org/wiki/Netherlands,,Boro,0,0,8,https://en.wikipedia.org/wiki/Boro_(Formula_One),6,4,0
United Kingdom,41,"1962 – 1987 , 1989 – 1992",https://en.wikipedia.org/wiki/1962_Formula_One_season,35,2,4,403,https://en.wikipedia.org/wiki/United_Kingdom,,Brabham,843,124,995,https://en.wikipedia.org/wiki/Brabham,394,39,39
United Kingdom,4,2009,https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship,8,1,1,17,https://en.wikipedia.org/wiki/United_Kingdom,,Brawn GP,172,15,34,https://en.wikipedia.org/wiki/Brawn_GP,17,2,5
United Kingdom,15,"1951 , 1956 – 1977",https://en.wikipedia.org/wiki/1951_Formula_One_season,17,1,1,208,https://en.wikipedia.org/wiki/United_Kingdom,,British Racing Motors,385,61,559,https://en.wikipedia.org/wiki/British_Racing_Motors,197,71,11
United Kingdom,0,1963 – 1964,https://en.wikipedia.org/wiki/1963_Formula_One_season,0,0,0,13,https://en.wikipedia.org/wiki/United_Kingdom,,British Racing Partnership,11,0,19,https://en.wikipedia.org/wiki/British_Racing_Partnership,13,2,0
France,0,1956,https://en.wikipedia.org/wiki/1956_Formula_One_season,0,n/a,0,1,https://en.wikipedia.org/wiki/France,,Bugatti,n/a,0,1,https://en.wikipedia.org/wiki/Bugatti,1,1,0
Malaysia,0,2012 – 2014,https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship,0,0,0,56,https://en.wikipedia.org/wiki/Malaysia,,Caterham,0,0,112,https://en.wikipedia.org/wiki/Caterham_F1,56,8,0
Italy,0,1952,https://en.wikipedia.org/wiki/1952_Formula_One_season,0,n/a,0,1,https://en.wikipedia.org/wiki/Italy,,Cisitalia,n/a,0,1,https://en.wikipedia.org/wiki/Cisitalia,0,1,0
Italy,0,1987 – 1991,https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship,0,0,0,65,https://en.wikipedia.org/wiki/Italy,,Coloni,0,0,81,https://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,13,8,0
United Kingdom,0,1952 – 1959,https://en.wikipedia.org/wiki/1952_Formula_One_season,0,0,0,18,https://en.wikipedia.org/wiki/United_Kingdom,,Connaught,0,1,52,https://en.wikipedia.org/wiki/Connaught_Engineering,17,29,0
United Kingdom,0,1972,https://en.wikipedia.org/wiki/1972_Formula_One_season,0,0,0,2,https://en.wikipedia.org/wiki/United_Kingdom,,Connew,0,0,2,https://en.wikipedia.org/wiki/Connew,1,1,0
United Kingdom,14,"1950 , 1952 – 1969",https://en.wikipedia.org/wiki/1950_Formula_One_season,16,2,2,129,https://en.wikipedia.org/wiki/United_Kingdom,,Cooper Car Company,301,58,528,https://en.wikipedia.org/wiki/Cooper_Car_Company,129,111,11
Italy,0,1988 – 1992,https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship,0,0,0,80,https://en.wikipedia.org/wiki/Italy,,Dallara,15,2,144,https://en.wikipedia.org/wiki/Dallara,78,6,0
Italy,0,"1961 – 1963 , 1970",https://en.wikipedia.org/wiki/1961_Formula_One_season,0,0,0,15,https://en.wikipedia.org/wiki/Italy,,De Tomaso,0,0,18,https://en.wikipedia.org/wiki/De_Tomaso,10,8,0
United States,2,1966 – 1969,https://en.wikipedia.org/wiki/1966_Formula_One_season,1,0,0,26,https://en.wikipedia.org/wiki/United_States,,Eagle (Anglo American Racers),17,2,35,https://en.wikipedia.org/wiki/All_American_Racers,26,7,0
Germany,0,1972,https://en.wikipedia.org/wiki/1972_Formula_One_season,0,0,0,8,https://en.wikipedia.org/wiki/Germany,,Eifelland,0,0,8,https://en.wikipedia.org/wiki/Eifelland,8,1,0
United Kingdom,0,"1956 , 1961 – 1962",https://en.wikipedia.org/wiki/1956_Formula_One_season,0,0,0,6,https://en.wikipedia.org/wiki/United_Kingdom,,Emeryson,0,0,7,https://en.wikipedia.org/wiki/Emeryson,4,6,0
East Germany,0,1953,https://en.wikipedia.org/wiki/1953_Formula_One_season,0,n/a,0,1,https://en.wikipedia.org/wiki/East_Germany,,Eisenacher Motorenwerk,n/a,0,1,https://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,1,1,0
Belgium,0,1962,https://en.wikipedia.org/wiki/1962_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/Belgium,,Ecurie Nationale Belge,0,0,1,https://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,1,1,0
United Kingdom,1,1973 – 1982,https://en.wikipedia.org/wiki/1973_Formula_One_season,0,0,0,134,https://en.wikipedia.org/wiki/United_Kingdom,,Ensign,19,0,154,https://en.wikipedia.org/wiki/Ensign_(racing_team),98,25,0
United Kingdom,0,1950 – 1952,https://en.wikipedia.org/wiki/1950_Formula_One_season,0,n/a,0,7,https://en.wikipedia.org/wiki/United_Kingdom,,English Racing Automobiles,n/a,0,12,https://en.wikipedia.org/wiki/English_Racing_Automobiles,7,7,0
Italy,0,1988 – 1990,https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship,0,0,0,46,https://en.wikipedia.org/wiki/Italy,,EuroBrun,0,0,76,https://en.wikipedia.org/wiki/EuroBrun,15,5,0
United Kingdom,0,1961,https://en.wikipedia.org/wiki/1961_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/United_Kingdom,,Ferguson Research Ltd.,0,0,1,https://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,1,2,0
Italy,0,1989,https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship,0,0,0,1,https://en.wikipedia.org/wiki/Italy,,FIRST,0,0,0,https://en.wikipedia.org/wiki/FIRST_(constructor),0,0,0
Brazil,0,1975 – 1982,https://en.wikipedia.org/wiki/1975_Formula_One_season,0,0,0,120,https://en.wikipedia.org/wiki/Brazil,,Fittipaldi Automotive (Copersucar),44,3,156,https://en.wikipedia.org/wiki/Fittipaldi_Automotive,103,8,0
Italy,0,1991 – 1992,https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship,0,0,0,29,https://en.wikipedia.org/wiki/Italy,,Fondmetal,0,0,42,https://en.wikipedia.org/wiki/Fondmetal,19,4,0
India,5,2008 – 2018,https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship,0,0,0,203,https://en.wikipedia.org/wiki/India,,Force India (Sahara),987,6,406,https://en.wikipedia.org/wiki/Force_India,203,7,1
Italy,0,1995 – 1996,https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship,0,0,0,28,https://en.wikipedia.org/wiki/Italy,,Forti,0,0,54,https://en.wikipedia.org/wiki/Forti,23,4,0
United Kingdom,0,1972 – 1976,https://en.wikipedia.org/wiki/1972_Formula_One_season,0,0,0,61,https://en.wikipedia.org/wiki/United_Kingdom,,Frank Williams Racing Cars,6,0,112,https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,56,25,0
United Kingdom,0,1952,https://en.wikipedia.org/wiki/1952_Formula_One_season,0,n/a,0,4,https://en.wikipedia.org/wiki/United_Kingdom,,Frazer-Nash,n/a,0,4,https://en.wikipedia.org/wiki/Frazer_Nash,4,2,0
United Kingdom,0,1959,https://en.wikipedia.org/wiki/1959_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/United_Kingdom,,Fry,0,0,1,https://en.wikipedia.org/wiki/Fry_(racing_team),0,1,0
United Kingdom,0,1961 – 1963,https://en.wikipedia.org/wiki/1961_Formula_One_season,0,0,0,6,https://en.wikipedia.org/wiki/United_Kingdom,,Gilby Engineering,0,0,6,https://en.wikipedia.org/wiki/Gilby_Engineering,3,2,0
France,1,1952 – 1956,https://en.wikipedia.org/wiki/1952_Formula_One_season,0,n/a,0,33,https://en.wikipedia.org/wiki/France,,Gordini,n/a,2,101,https://en.wikipedia.org/wiki/Gordini,33,23,0
East Germany,0,1953,https://en.wikipedia.org/wiki/1953_Formula_One_season,0,n/a,0,1,https://en.wikipedia.org/wiki/East_Germany,,Greifzu,n/a,0,1,https://en.wikipedia.org/wiki/Paul_Greifzu,1,1,0
United Kingdom,1,1974 – 1978,https://en.wikipedia.org/wiki/1974_Formula_One_season,1,0,0,60,https://en.wikipedia.org/wiki/United_Kingdom,,Hesketh,48,7,97,https://en.wikipedia.org/wiki/Hesketh_Racing,52,15,0
United Kingdom,0,1975,https://en.wikipedia.org/wiki/1975_Formula_One_season,0,0,0,11,https://en.wikipedia.org/wiki/United_Kingdom,,Hill,3,0,21,https://en.wikipedia.org/wiki/Embassy_Hill,10,6,0
Spain,0,2010 – 2012,https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship,0,0,0,58,https://en.wikipedia.org/wiki/Spain,,HRT (Hispania Racing Team),0,0,116,https://en.wikipedia.org/wiki/HRT_Formula_1_Team,56,8,0
Japan,2,"1964 – 1968 , 2006 – 2008",https://en.wikipedia.org/wiki/1964_Formula_One_season,3,0,0,88,https://en.wikipedia.org/wiki/Japan,,Honda,154,9,154,https://en.wikipedia.org/wiki/Honda_in_Formula_One,88,8,2
